FID,LOCATIONID,NUMSPACES,x,y
334,BF29099,0,-122.674746301707,45.5260045390121
335,BF29102,0,-122.677843151122,45.5259550761207
336,BF29104,6,-122.679800783145,45.5259204771189
337,BF29106,4,-122.681886438572,45.5258918902565
338,BF29109,0,-122.684979678556,45.5258188757834
339,BF29110,6,-122.685762775922,45.5258069703925
340,BF29118,2,-122.698606536613,45.5255630040411
341,BF29223,2,-122.673906870989,45.5266200309928
342,BF29224,4,-122.674773126299,45.526602315076
343,BF29226,4,-122.676942832595,45.5265651695319
344,BF29230,0,-122.681050389113,45.5264887084015
345,BF29231,0,-122.681809393663,45.5264748729624
346,BF29233,0,-122.683582367098,45.5264423385212
347,BF29239,2,-122.687864044966,45.5263540594273
348,BF29244,2,-122.695021004581,45.5262311807549
349,BF29246,1,-122.698820013156,45.5261692425623
350,BF29253,9,-122.67521457999,45.5267134513667
351,BF29256,0,-122.677905332506,45.5266595170137
352,BF29257,0,-122.67940380235,45.5266329343443
353,BF29258,4,-122.680744227993,45.5266052339546
354,BF29260,2,-122.682681890467,45.5264921225775
355,BF29262,2,-122.684661258127,45.526534236815
356,BF29434,0,-122.679632210689,45.5272263399358
357,BF29435,2,-122.680580673526,45.5272100993669
358,BF29436,2,-122.681917806843,45.527185316222
359,BF29439,0,-122.684578526883,45.5271359720542
360,BF29444,0,-122.694218361672,45.5269584391757
361,BF20078,0,-122.621375108058,45.5482419350129
362,BF29455,0,-122.678036647336,45.5274039902831
363,BF20193,2,-122.662496710999,45.5578258770921
364,BF20306,12,-122.64172218011,45.5265655213331
365,BF20308,0,-122.639083751764,45.5265473038147
366,BF29457,0,-122.680805327805,45.5273204641545
367,BF20309,6,-122.637547223895,45.5265545538176
368,BF20310,20,-122.63689391063,45.5265352758565
369,BF29460,0,-122.691072650193,45.5281444562418
370,BF20335,4,-122.605089293354,45.5265662526266
371,BF20342,0,-122.593973248076,45.5265469488666
372,BF29461,0,-122.684430839359,45.5272541224622
373,BF20351,6,-122.583907619029,45.5265190212426
374,BF20354,2,-122.581152677394,45.526505757882
375,BF20374,8,-122.556689370199,45.5264667085161
376,BF29467,8,-122.693818426317,45.527088969597
377,BF20418,12,-122.656185743396,45.5265252932535
378,BF29468,0,-122.694602213589,45.5270669227463
379,BF20432,0,-122.637344501085,45.5263788114714
380,BF20433,0,-122.637037924943,45.5263841306735
381,BF29500,6,-122.680855140286,45.5279170959664
382,BF29503,0,-122.684715418454,45.52784344158
383,BF29510,2,-122.694746447091,45.5276601821608
384,BF20434,0,-122.635051663611,45.5263746162744
385,BF27314,2,-122.683284774109,45.524989925533
386,BF20461,0,-122.602078499848,45.526415941405
387,BF20470,4,-122.592646701404,45.5263908998799
388,BF29512,6,-122.699537087043,45.5275723247407
389,BF27315,2,-122.683297369388,45.5252523539858
390,BF20471,0,-122.592291759967,45.5263840822142
391,BF29519,4,-122.680595829003,45.5280394083405
392,BF20473,2,-122.589377845273,45.5263753865897
393,BF27318,0,-122.683376510964,45.527378746553
394,BF20474,0,-122.588817495962,45.5263767277185
395,BF29521,2,-122.68395746673,45.5279758321191
396,BF27319,0,-122.683411131137,45.5282875269111
397,BF20481,0,-122.581069628146,45.5263524653022
398,BF29523,2,-122.685891762319,45.5279241796509
399,BF27320,0,-122.683448879244,45.5292983950457
400,BF205,6,-122.607863072661,45.5228197333439
401,BF29529,0,-122.695404107304,45.5277650929477
402,BF20712,6,-122.661320236879,45.5430231547321
403,BF27321,0,-122.683469202729,45.5298446307705
404,BF20715,4,-122.666413695319,45.5428088354062
405,BF29530,2,-122.69838994651,45.5277097706771
406,BF20725,4,-122.660806820049,45.5267705399106
407,BF27328,0,-122.683092109735,45.524091719409
408,BF20731,2,-122.660907109764,45.5308510526594
409,BF29531,0,-122.69869486526,45.5277040897369
410,BF27329,0,-122.683126914063,45.5249673353527
411,BF20766,0,-122.660559179678,45.5273276309859
412,BF20779,2,-122.660474807212,45.5364397499643
413,BF29562,0,-122.680803630888,45.5286345460795
414,BF27330,10,-122.683155802085,45.5251935942206
415,BF20824,0,-122.656947276703,45.5337227766715
416,BF29566,2,-122.684686590618,45.5285603029615
417,BF27331,0,-122.683172738922,45.5263737068746
418,BF20862,4,-122.602942282096,45.5337681796704
419,BF29567,0,-122.685756596411,45.5285361579109
420,BF20901,2,-122.556408965575,45.5335876938336
421,BF20905,4,-122.54804216841,45.5335494699422
422,BF27336,0,-122.683327039843,45.5304298908413
423,BF29571,4,-122.687754577164,45.5285069657147
424,BF20951,20,-122.657357336969,45.5334985097474
425,BF27344,0,-122.684320034863,45.524847460102
426,BF29583,0,-122.68081263021,45.528743190669
427,BF21075,8,-122.666208096104,45.5365766595229
428,BF27347,2,-122.684383343633,45.5265731797755
429,BF21098,14,-122.632129483518,45.5364960024584
430,BF29584,0,-122.681823313058,45.5287662733458
431,BF21106,0,-122.620216130424,45.5365803650486
432,BF27350,0,-122.684483167122,45.5290039421139
433,BF21108,2,-122.618541812669,45.5365616322895
434,BF29586,0,-122.684028314161,45.528687633996
435,BF27361,1,-122.684168551059,45.5256870648341
436,BF21181,6,-122.622473783583,45.5364401797283
437,BF21184,2,-122.620188532382,45.5364425204634
438,BF29587,0,-122.684850326545,45.5286734001108
